,title,link,price
53,"ACEITUNA PARTIDA VERDE CON ESPECIAS ESTILO CASERAS, HACENDADO, TARRO 940 G ESCURRIDO 550 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33028,2.45
54,"ACEITUNA RELLENA ANCHOA SELECCION, HACENDADO, BOTE 1460 G ESCURRIDO 600 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33010,3.1
55,"ACEITUNA RELLENA ANCHOA SELECCION, HACENDADO, LATA 300 G ESCURRIDO 130 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33155,1.15
56,"ACEITUNA RELLENA ANCHOA SUAVE, HACENDADO, LATA 350 G ESCURRIDO 150 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33024,0.8
57,"ACEITUNA RELLENA ANCHOA SUAVE, HACENDADO, LATA PACK 3 U X 50 G - 360 G ESCURRIDO 150 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33078,1.8
58,"ACEITUNA RELLENA ANCHOA, HACENDADO, LATA PACK 3 U X 150 G - 1050 G ESCURRIDO 450 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33083,1.9
59,"ACEITUNA RELLENA ANCHOA, HACENDADO, LATA PACK 6 U X 50 G - 720 G ESCURRIDO 300 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33071,2.15
60,"ACEITUNA RELLENA JALAPEÑO (PICANTE), HACENDADO, LATA 350 G ESCURRIDO 150 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33178,1.35
61,"ACEITUNA RELLENA LIMON, HACENDADO, LATA 350 G ESCURRIDO 150 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33126,1.3
62,"ACEITUNA RELLENA PIMIENTO ASADO, HACENDADO, LATA PACK 3 U X 50 G - 360 G ESCURRIDO 150 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33133,1.6
63,"ACEITUNA RELLENA PIMIENTO ASADO, HACENDADO, LATA 350 G ESCURRIDO 150 G",https://www.telecompra.mercadona.es/detall_producte.php?id=33125,1.0
64,"ACELGA COCIDA TROCEADA CONSERVA, HACENDADO, TARRO 660 G ESCURRIDO 425 G",https://www.telecompra.mercadona.es/detall_producte.php?id=16314,1.0
65,"ACELGA HOJA PORCIONES CONGELADA, HACENDADO, PAQUETE 1 KG",https://www.telecompra.mercadona.es/detall_producte.php?id=61227,1.65
66,"ACELGA HOJAS 2 PORCIONES CONGELADA, HACENDADO, PAQUETE 450 G",https://www.telecompra.mercadona.es/detall_producte.php?id=61225,0.75
67,"ACELGAS FRESCAS, VARIOS, BOLSA 300 G",https://www.telecompra.mercadona.es/detall_producte.php?id=69725,1.0
68,"ACELGAS MANOJO FRESCO, VARIOS, U 800 G",https://www.telecompra.mercadona.es/detall_producte.php?id=69698,1.8
69,"ACHICORIA SOLUBLE, LEROUX, BOTE 200 G",https://www.telecompra.mercadona.es/detall_producte.php?id=11210,2.75
70,"ACLARANTE RUBIO ULTRA CLARO CENIZA N.0.3 EXCELLENCE, L'OREAL, U",,6.5
71,"ACLARANTE RUBIO ULTRA CLARO NATURAL N.0.1EXCELLENCE, L'OREAL, U",,6.5
72,"ACONDICIONADOR ALISADO CON ACLARADO CABELLO REBELDE, DELIPLUS, BOTELLA 300 ML",,1.3
73,"ACONDICIONADOR CABELLO ALISADO, PROVOST, BOTELLA 750 ML",,3.5
74,"ACONDICIONADOR CABELLO BIFASICO HYDRA DESENREDA Y PROTEGE, DELIPLUS, BOTELLA 250 ML",,2.0
75,"ACONDICIONADOR CABELLO REPARA Y PROTEGE, PANTENE, BOTELLA 230 ML",,2.5
76,"ACONDICIONADOR CABELLO SECO NUTRITIVO, PROVOST, BOTELLA 750 ML",,3.5
77,"ACONDICIONADOR CABELLO TEÑIDO O CON MECHAS, PROVOST, BOTELLA 750 ML",,3.5
78,"ACONDICIONADOR CITRICO CON ACLARADO CABELLO NORMAL, DELIPLUS, BOTELLA 750 ML",,0.75
79,"ACONDICIONADOR HIDRATACION TOTAL CON ACLARADO CABELLO NORMAL, DELIPLUS, BOTELLA 300 ML",,1.3
80,"ACONDICIONADOR REPARACION & HIDRATACION CON ACLARADO CABELLO SECO Y DAÑADO, DELIPLUS, BOTELLA 300 ML",,1.3
81,"ACONDICIONADOR REPARACION & HIDRATACION SIN ACLARADO CABELLO SECO Y DAÑADO (PISTOLA), DELIPLUS, BOTELLA 400 ML",,2.5
82,"ACONDICIONADOR VOLUMEN SIN ACLARADO (PISTOLA), DELIPLUS, BOTELLA 400 ML",,2.5
83,"ACTIVADOR LAVADO LIQUIDO BLANQUEANTE OXI ACTIVO (ROPA BLANCA), BOSQUE VERDE, BOTELLA 2 L - 22 LAVADOS",https://www.telecompra.mercadona.es/detall_producte.php?id=40230,1.6
84,"ACTIVADOR LAVADO LIQUIDO BLANQUEANTE OXY (ROPA BLANCA), NEUTREX, BOTELLA 800 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=40402,1.45
85,"ACTIVADOR LAVADO LIQUIDO OXI ACTIVO (ROPA COLOR), BOSQUE VERDE, BOTELLA 2 L",https://www.telecompra.mercadona.es/detall_producte.php?id=40233,1.6
86,"ACTIVADOR LAVADO LIQUIDO OXY (ROPA COLOR), NEUTREX, BOTELLA 800 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=43104,1.45
87,"ACTIVADOR LAVADO POLVO BLANQUEANTE OXI ACTIVO (ROPA BLANCA), BOSQUE VERDE, BOTE 1 KG",https://www.telecompra.mercadona.es/detall_producte.php?id=40315,2.8
88,"ACTIVADOR LAVADO POLVO QUITAMANCHAS CON OXIGENO ACTIVO (ROPA COLOR), BOSQUE VERDE, BOTE 1 KG",https://www.telecompra.mercadona.es/detall_producte.php?id=40317,2.8
89,"AFTER SHAVE ALOE VERA PIEL NORMAL CON DOSIFICADOR (ENVASE VERDE), DELIPLUS, BOTELLA 300 ML",,2.6
90,"AFTER SHAVE BALSAMO PIEL SENSIBLE CON DOSIFICADOR (ENVASE BLANCO), DELIPLUS, BOTELLA 100 ML",,1.95
91,"AFTER SHAVE BALSAMO SENSITIVE, NIVEA, BOTELLA 100 ML",,4.75
92,"AFTER SHAVE BALSAMO SUAVE, NIVEA, BOTELLA 100 ML",,4.4
93,"AFTER SHAVE LOCION AQUA VELVA, AQUA VEL, BOTELLA 200 ML",,3.7
94,"AFTER SHAVE LOCION CON EXTRACTOS DE ALGAS MARINAS, DELIPLUS, BOTELLA 320 ML",,2.1
95,"AFTER SHAVE LOCION VIGOROSO, FLOID, BOTELLA 150 ML",,3.85
96,"AGUA CON GAS ***NOVEDAD***, PAROT, PACK 6 X 1 L - 6 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28871,4.2
97,"AGUA CON GAS, AGUADOY, PACK 6 X 500 ML - 3 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28469,1.14
98,"AGUA CON GAS, AGUADOY, BOTELLA 500 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=28470,0.19
99,"AGUA CON GAS, AGUADOY, PACK 6 X 1500 ML - 9 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28467,1.86
100,"AGUA CON GAS, AGUADOY, BOTELLA 1,5 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28468,0.31
101,"AGUA CON GAS, PAROT, BOTELLA 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28872,0.7
102,"AGUA CON GAS, VICHY CATALA, BOTELLIN PACK 6 X 250 ML - 1500 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=28185,4.99
103,"AGUA CON GAS, VICHY CATALA, BOTELLA 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=27213,1.18
104,"AGUA DE AZAHAR (ESPECIAL PARA REPOSTERIA), HACENDADO, BOTELLA 150 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=19816,1.6
105,"AGUA DE COCO 100% NATURAL, CHAOKOH, BRICK 330 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=28197,1.3
106,"AGUA DE COCO 100% NATURAL, CHAOKOH, BRICK 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28198,2.4
107,"AGUA DESTILADA, BOSQUE VERDE, GARRAFA 5 L",,1.75
108,"AGUA DESTILADA, BOSQUE VERDE, BOTELLA 2 L",,0.75
109,"AGUA FACIAL AVENA VAPORIZADOR LINEA DERMIK, DELIPLUS, BOTELLA 300 ML",,2.98
110,"AGUA FACIAL LIMPIADORA MICELAR PARA ROSTRO Y OJOS, DELIPLUS, BOTELLA 400 ML",,3.2
111,"AGUA MINERAL NATURAL (MINERALIZACION DEBIL) ***TAMAÑO AHORRO***, AGUADOY, GARRAFA 8 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28482,0.73
112,"AGUA MINERAL NATURAL (MINERALIZACION DEBIL), AGUADOY, PACK 6 X 1,5 L - 9 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28471,1.08
113,"AGUA MINERAL NATURAL (MINERALIZACION DEBIL), AGUADOY, BOTELLA PACK 6 X 1 L - 6 L",https://www.telecompra.mercadona.es/detall_producte.php?id=28157,1.92
